nohup: ignoring input
Evaluation scenes: 312
Loaded ScanNetDepthDataset: 54090 samples.
Loading weights from local directory
[foundation_vggt] step 2280/6762 abs_rel=0.2346
[foundation_vggt] step 2300/6762 abs_rel=0.1425
[foundation_vggt] step 2320/6762 abs_rel=0.2290
[foundation_vggt] step 2340/6762 abs_rel=0.2096
[foundation_vggt] step 2360/6762 abs_rel=0.2898
[foundation_vggt] step 2380/6762 abs_rel=0.6853
[foundation_vggt] step 2400/6762 abs_rel=0.1234
[foundation_vggt] step 2420/6762 abs_rel=0.1875
[foundation_vggt] step 2440/6762 abs_rel=0.3979
[foundation_vggt] step 2460/6762 abs_rel=0.1643
[foundation_vggt] step 2480/6762 abs_rel=0.4123
[foundation_vggt] step 2500/6762 abs_rel=0.1232
[foundation_vggt] step 2520/6762 abs_rel=0.1440
[foundation_vggt] step 2540/6762 abs_rel=0.3130
[foundation_vggt] step 2560/6762 abs_rel=0.1363
[foundation_vggt] step 2580/6762 abs_rel=0.2609
[foundation_vggt] step 2600/6762 abs_rel=0.1778
[foundation_vggt] step 2620/6762 abs_rel=0.2317
[foundation_vggt] step 2640/6762 abs_rel=0.1105
[foundation_vggt] step 2660/6762 abs_rel=0.1110
[foundation_vggt] step 2680/6762 abs_rel=0.1827
[foundation_vggt] step 2700/6762 abs_rel=0.2559
[foundation_vggt] step 2720/6762 abs_rel=0.1174
[foundation_vggt] step 2740/6762 abs_rel=0.1709
[foundation_vggt] step 2760/6762 abs_rel=0.1096
[foundation_vggt] step 2780/6762 abs_rel=0.3674
[foundation_vggt] step 2800/6762 abs_rel=0.1772
[foundation_vggt] step 2820/6762 abs_rel=0.3255
[foundation_vggt] step 2840/6762 abs_rel=0.2238
[foundation_vggt] step 2860/6762 abs_rel=0.1473
[foundation_vggt] step 2880/6762 abs_rel=0.1543
[foundation_vggt] step 2900/6762 abs_rel=0.1087
[foundation_vggt] step 2920/6762 abs_rel=0.2588
[foundation_vggt] step 2940/6762 abs_rel=0.1427
[foundation_vggt] step 2960/6762 abs_rel=0.2151
[foundation_vggt] step 2980/6762 abs_rel=0.0499
[foundation_vggt] step 3000/6762 abs_rel=0.0921
[foundation_vggt] step 3020/6762 abs_rel=0.3367
[foundation_vggt] step 3040/6762 abs_rel=0.1659
[foundation_vggt] step 3060/6762 abs_rel=0.2640
[foundation_vggt] step 3080/6762 abs_rel=0.2091
[foundation_vggt] step 3100/6762 abs_rel=0.3192
[foundation_vggt] step 3120/6762 abs_rel=0.1827
[foundation_vggt] step 3140/6762 abs_rel=0.3685
[foundation_vggt] step 3160/6762 abs_rel=0.1465
[foundation_vggt] step 3180/6762 abs_rel=0.1743
[foundation_vggt] step 3200/6762 abs_rel=0.1877
[foundation_vggt] step 3220/6762 abs_rel=0.1430
[foundation_vggt] step 3240/6762 abs_rel=0.2095
[foundation_vggt] step 3260/6762 abs_rel=0.1998
[foundation_vggt] step 3280/6762 abs_rel=0.1559
[foundation_vggt] step 3300/6762 abs_rel=0.3015
[foundation_vggt] step 3320/6762 abs_rel=0.2774
[foundation_vggt] step 3340/6762 abs_rel=0.3925
[foundation_vggt] step 3360/6762 abs_rel=0.1441
[foundation_vggt] step 3380/6762 abs_rel=0.1767
[foundation_vggt] step 3400/6762 abs_rel=0.2288
[foundation_vggt] step 3420/6762 abs_rel=0.2973
[foundation_vggt] step 3440/6762 abs_rel=0.3410
[foundation_vggt] step 3460/6762 abs_rel=0.0812
[foundation_vggt] step 3480/6762 abs_rel=0.2335
[foundation_vggt] step 3500/6762 abs_rel=0.3393
[foundation_vggt] step 3520/6762 abs_rel=0.0264
[foundation_vggt] step 3540/6762 abs_rel=0.1873
[foundation_vggt] step 3560/6762 abs_rel=0.2048
[foundation_vggt] step 3580/6762 abs_rel=0.2585
[foundation_vggt] step 3600/6762 abs_rel=0.1915
[foundation_vggt] step 3620/6762 abs_rel=0.2115
[foundation_vggt] step 3640/6762 abs_rel=0.1732
[foundation_vggt] step 3660/6762 abs_rel=0.2320
[foundation_vggt] step 3680/6762 abs_rel=0.3871
[foundation_vggt] step 3700/6762 abs_rel=0.2921
[foundation_vggt] step 3720/6762 abs_rel=0.3245
[foundation_vggt] step 3740/6762 abs_rel=0.2546
[foundation_vggt] step 3760/6762 abs_rel=0.2000
[foundation_vggt] step 3780/6762 abs_rel=0.2587
[foundation_vggt] step 3800/6762 abs_rel=0.4094
[foundation_vggt] step 3820/6762 abs_rel=0.3365
[foundation_vggt] step 3840/6762 abs_rel=0.1785
[foundation_vggt] step 3860/6762 abs_rel=0.2340
[foundation_vggt] step 3880/6762 abs_rel=0.1951
[foundation_vggt] step 3900/6762 abs_rel=0.1905
[foundation_vggt] step 3920/6762 abs_rel=0.1614
[foundation_vggt] step 3940/6762 abs_rel=0.2608
[foundation_vggt] step 3960/6762 abs_rel=0.1386
[foundation_vggt] step 3980/6762 abs_rel=0.1508
[foundation_vggt] step 4000/6762 abs_rel=0.1170
[foundation_vggt] step 4020/6762 abs_rel=0.1016
[foundation_vggt] step 4040/6762 abs_rel=0.2046
[foundation_vggt] step 4060/6762 abs_rel=0.0550
[foundation_vggt] step 4080/6762 abs_rel=0.1247
[foundation_vggt] step 4100/6762 abs_rel=0.1235
[foundation_vggt] step 4120/6762 abs_rel=0.2535
[foundation_vggt] step 4140/6762 abs_rel=0.1158
[foundation_vggt] step 4160/6762 abs_rel=0.1865
[foundation_vggt] step 4180/6762 abs_rel=0.2463
[foundation_vggt] step 4200/6762 abs_rel=0.1760
[foundation_vggt] step 4220/6762 abs_rel=0.1116
[foundation_vggt] step 4240/6762 abs_rel=0.2364
[foundation_vggt] step 4260/6762 abs_rel=0.3059
[foundation_vggt] step 4280/6762 abs_rel=0.1359
[foundation_vggt] step 4300/6762 abs_rel=0.1195
[foundation_vggt] step 4320/6762 abs_rel=0.1085
[foundation_vggt] step 4340/6762 abs_rel=0.2440
[foundation_vggt] step 4360/6762 abs_rel=0.1795
[foundation_vggt] step 4380/6762 abs_rel=0.1655
[foundation_vggt] step 4400/6762 abs_rel=0.1624
[foundation_vggt] step 4420/6762 abs_rel=0.0961
[foundation_vggt] step 4440/6762 abs_rel=0.1760
[foundation_vggt] step 4460/6762 abs_rel=0.3738
[foundation_vggt] step 4480/6762 abs_rel=0.1762
[foundation_vggt] step 4500/6762 abs_rel=0.2413
[foundation_vggt] step 4520/6762 abs_rel=0.5486
[foundation_vggt] step 4540/6762 abs_rel=0.2918
[foundation_vggt] step 4560/6762 abs_rel=0.1667
[foundation_vggt] step 4580/6762 abs_rel=0.5528
[foundation_vggt] step 4600/6762 abs_rel=0.2237
[foundation_vggt] step 4620/6762 abs_rel=0.0631
[foundation_vggt] step 4640/6762 abs_rel=0.1093
[foundation_vggt] step 4660/6762 abs_rel=0.0886
[foundation_vggt] step 4680/6762 abs_rel=0.1540
[foundation_vggt] step 4700/6762 abs_rel=0.2100
[foundation_vggt] step 4720/6762 abs_rel=0.2678
[foundation_vggt] step 4740/6762 abs_rel=0.2679
[foundation_vggt] step 4760/6762 abs_rel=0.3621
[foundation_vggt] step 4780/6762 abs_rel=0.2563
[foundation_vggt] step 4800/6762 abs_rel=0.5470
[foundation_vggt] step 4820/6762 abs_rel=0.1417
[foundation_vggt] step 4840/6762 abs_rel=0.4132
[foundation_vggt] step 4860/6762 abs_rel=0.2217
[foundation_vggt] step 4880/6762 abs_rel=0.2837
[foundation_vggt] step 4900/6762 abs_rel=0.2955
[foundation_vggt] step 4920/6762 abs_rel=0.1619
[foundation_vggt] step 4940/6762 abs_rel=0.2849
[foundation_vggt] step 4960/6762 abs_rel=0.1393
[foundation_vggt] step 4980/6762 abs_rel=0.1626
[foundation_vggt] step 5000/6762 abs_rel=0.3084
